id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
776185076518688410,Cozy apartment-Old Port Montréal,490497915,Mahé,,Ville-Marie,45.49781,-73.55409,Entire home/apt,122,2,13,2023-03-22,3.51,1,191,13,131200
776234489265090537,Lovely 3-bedroom unit,485486671,Sofiane,,Le Sud-Ouest,45.45873,-73.59846,Entire home/apt,122,1,19,2023-03-20,4.52,7,45,19,298284
776261908480649512,Luxury 5 bedroom lower duplex,476813786,Natalia,,Ahuntsic-Cartierville,45.53166346079595,-73.72416021363726,Entire home/apt,291,2,11,2023-03-28,3.06,2,94,11,278907
776264759234695353,2Chambre Maison centreville Aeroport Stationnement,490512464,Patrick Et Thao,,Lachine,45.448176670385116,-73.65095033068846,Private room,149,1,1,2022-12-25,0.27,3,195,1,311467
776266945783784265,Renovated 3BR+2Bath w/Patio*Heart of Plateau,288056459,Alexa,,Le Plateau-Mont-Royal,45.52765,-73.60334,Entire home/apt,170,31,9,2023-03-31,2.14,21,0,9,
776305481291782707,private room near Concordia,243746900,Lucy,,Ville-Marie,45.49314,-73.58333,Private room,51,2,3,2023-03-10,1.22,109,41,3,158369
776315730891960676,cozy room near Atwater&Concordia,243746900,Lucy,,Ville-Marie,45.49162,-73.58203,Private room,57,2,2,2023-02-27,0.50,109,48,2,155325
776328712044291352,"Private room in MTL, close Metro",243746900,Lucy,,Le Sud-Ouest,45.44714,-73.6006,Private room,35,2,1,2023-02-19,0.54,109,70,1,866413
776358808147142384,Chambre1 Maison centreville Aeroport Stationnement,490512464,Patrick Et Thao,,Lachine,45.44918,-73.65036,Private room,86,1,44,2023-04-14,12.22,3,236,44,311467
776369096162618182,Chambre2 Maison centreville Aeroport Stationnement,490512464,Patrick Et Thao,,Lachine,45.4491,-73.65187,Private room,77,1,44,2023-04-12,11.19,3,118,44,311467
776685147099310827,Modern authentic apartment OldPort,490449998,Adam,,Ville-Marie,45.50369,-73.55613,Entire home/apt,117,2,19,2023-03-31,4.83,3,306,19,922640
789137049023412722,"2 Bedroom Apartment Downtown, Top Floor",492621491,Ivonne,,Ville-Marie,45.49128,-73.5786,Entire home/apt,47,31,8,2023-03-31,3.48,31,2,8,
789191329876355721,Luxury condo right in Downtown,154681554,Frank,,Ville-Marie,45.49748115962177,-73.57151949315696,Entire home/apt,203,31,1,2023-03-12,0.86,3,14,1,
789212797634386219,Amazing Private Balcony Montreal,492621491,Ivonne,,Le Plateau-Mont-Royal,45.50796285927059,-73.57277189082362,Entire home/apt,52,31,7,2023-02-17,2.14,31,125,7,
789234251419669363,Beautiful View of Mount Royal,492621491,Ivonne,,Le Plateau-Mont-Royal,45.50807997800211,-73.57226839555797,Entire home/apt,43,31,4,2023-03-09,1.46,31,93,4,
